Date	Population	Emp	Unemp	EmpPop	UnempPop	NILFPop
200001	23937.8	14257	1128.9	0.5956	0.0472	0.3573
200002	23963.5	14363.7	1132.7	0.5994	0.0473	0.3533
200003	23988.6	14418	1130.4	0.6010	0.0471	0.3518
200004	24014.6	14493.1	1111	0.6035	0.0463	0.3502
200005	24048.5	14874.9	1074.7	0.6185	0.0447	0.3368
200006	24076.3	15056.3	1018.9	0.6254	0.0423	0.3323
200007	24102.5	15112.9	1143.9	0.6270	0.0475	0.3255
200008	24134.6	15097	1178.5	0.6255	0.0488	0.3256
200009	24162.1	14883.9	1004.6	0.6160	0.0416	0.3424
200010	24189.6	14896.3	1014.1	0.6158	0.0419	0.3423
200011	24216.4	14846.2	1036.7	0.6131	0.0428	0.3441
200012	24241.9	14822.2	1007	0.6114	0.0415	0.3470
200101	24255.3	14526	1181.7	0.5989	0.0487	0.3524
200102	24280.4	14572.4	1175.5	0.6002	0.0484	0.3514
200103	24308.1	14619.1	1200.7	0.6014	0.0494	0.3492
200104	24344.9	14724.3	1180.7	0.6048	0.0485	0.3467
200105	24375.1	15080.9	1147.2	0.6187	0.0471	0.3342
200106	24406.3	15230.6	1101.9	0.6240	0.0451	0.3308
200107	24442.1	15297.8	1196.7	0.6259	0.0490	0.3252
200108	24470.7	15273.1	1235.8	0.6241	0.0505	0.3254
200109	24498.4	15029.5	1063.4	0.6135	0.0434	0.3431
200110	24525.1	15023	1081.9	0.6126	0.0441	0.3433
200111	24550.9	14951.4	1150.4	0.6090	0.0469	0.3441
200112	24575	14859.5	1225.4	0.6047	0.0499	0.3455
200201	24608.4	14659.9	1402.7	0.5957	0.0570	0.3473
200202	24634	14732.8	1359.9	0.5981	0.0552	0.3467
200203	24662.4	14846.7	1354.4	0.6020	0.0549	0.3431
200204	24699.4	14968.3	1305	0.6060	0.0528	0.3411
200205	24729.8	15352	1311.6	0.6208	0.0530	0.3262
200206	24761	15597.9	1190.8	0.6299	0.0481	0.3220
